"Ano","Rank","Time","PercPosse","colocacao"
"2016","1","Corinthians","55.9","7"
"2016","2","Santos","53.8","2"
"2016","3","Gremio","53.4","9"
"2016","4","Atletico-MG","53.4","4"
"2016","5","Flamengo","53.2","3"
"2016","6","Palmeiras","52.9","1"
"2016","7","Fluminense","52.1","13"
"2016","8","Cruzeiro","51.8","12"
"2016","9","SaoPaulo","51.6","10"
"2016","10","Internacional","51.2","17"
"2016","11","Sport","50.8","14"
"2016","12","Vitoria","48.6","16"
"2016","13","Athletico-PR","48.5","6"
"2016","14","Botafogo","48.3","5"
"2016","15","SantaCruz","47.7","19"
"2016","16","Coritiba","46.7","15"
"2016","17","Chapecoense","46.3","11"
"2016","18","America-MG","45.3","20"
"2016","19","PontePreta","44.9","8"
"2016","20","Figueirense","43.6","13"
"2017","1","Flamengo","57.4","6"
"2017","2","Palmeiras","56.3","2"
"2017","3","SaoPaulo","55.1","13"
"2017","4","Corinthians","54.4","1"
"2017","5","Gremio","53.3","4"
"2017","6","Sport","53.1","15"
"2017","7","Atletico-MG","52.9","9"
"2017","8","Cruzeiro","52.5","5"
"2017","9","Santos","51.4","3"
"2017","10","Athletico-PR","51.1","11"
"2017","11","Fluminense","49.9","14"
"2017","12","Bahia","48.4","12"
"2017","13","Vitoria","48.3","16"
"2017","14","Coritiba","48.0","17"
"2017","15","Vasco","47.5","7"
"2017","16","Botafogo","46.9","10"
"2017","17","PontePreta","45.7","19"
"2017","18","Atletico-GO","43.8","20"
"2017","19","Chapecoense","43.7","8"
"2017","20","Avai","40.3","18"
"2018","1","Gremio","56.9","4"
"2018","2","Flamengo","56.1","2"
"2018","3","Atletico-MG","55.8","6"
"2018","4","Corinthians","54.9","13"
"2018","5","Athletico-PR","54.9","7"
"2018","6","Santos","52.8","10"
"2018","7","Cruzeiro","51.6","8"
"2018","8","Internacional","51.2","3"
"2018","9","Fluminense","49.7","12"
"2018","10","Palmeiras","49.5","1"
"2018","11","Vasco","49.4","16"
"2018","12","Bahia","48.6","11"
"2018","13","SaoPaulo","47.8","5"
"2018","14","Sport","47.5","17"
"2018","15","America-MG","47.3","18"
"2018","16","Vitoria","47.2","19"
"2018","17","Chapecoense","46.1","14"
"2018","18","Botafogo","46.1","9"
"2018","19","Ceara","44.9","15"
"2018","20","Parana","41.6","20"
"2019","1","Flamengo","58.8","1"
"2019","2","Fluminense","57.4","14"
"2019","3","Athletico-PR","57.1","5"
"2019","4","Gremio","56.7","4"
"2019","5","Santos","56.6","2"
"2019","6","Internacional","53.6","7"
"2019","7","SaoPaulo","53.5","6"
"2019","8","Cruzeiro","52.2","17"
"2019","9","Corinthians","51.2","8"
"2019","10","Palmeiras","50.4","3"
"2019","11","Atletico-MG","49.6","13"
"2019","12","Botafogo","49.6","15"
"2019","13","Bahia","46.9","11"
"2019","14","Avai","46.1","20"
"2019","15","Ceara","45.4","16"
"2019","16","Fortaleza","45.3","9"
"2019","17","Chapecoense","44.4","19"
"2019","18","Vasco","44.4","12"
"2019","19","Goias","41.9","10"
"2019","20","CSA","39.0","18"
"2020","1","Atletico-MG","60.9","3"
"2020","2","Flamengo","60.6","1"
"2020","3","SaoPaulo","57.2","4"
"2020","4","Athletico-PR","54.2","9"
"2020","5","Gremio","52.4","6"
"2020","6","Palmeiras","52.1","7"
"2020","7","Santos","51.0","8"
"2020","8","Corinthians","49.9","12"
"2020","9","Fortaleza","49.7","16"
"2020","10","RBBragantino","49.6","10"
"2020","11","Internacional","49.4","2"
"2020","12","Fluminense","48.7","5"
"2020","13","Botafogo","47.6","20"
"2020","14","Atletico-GO","46.7","13"
"2020","15","Bahia","46.6","14"
"2020","16","Coritiba","46.5","19"
"2020","17","Vasco","46.3","17"
"2020","18","Sport","44.8","15"
"2020","19","Ceara","43.5","11"
"2020","20","Goias","42.3","18"
"2021","1","Flamengo","58.9","2"
"2021","2","Atletico-MG","56.4","1"
"2021","3","SaoPaulo","56.3","13"
"2021","4","Corinthians","54.7","5"
"2021","5","Santos","53.6","10"
"2021","6","Gremio","51.9","17"
"2021","7","Internacional","50.7","12"
"2021","8","Palmeiras","50.1","3"
"2021","9","Fortaleza","49.8","4"
"2021","10","RBBragantino","49.8","6"
"2021","11","Fluminense","49.6","7"
"2021","12","Atletico-GO","49.6","9"
"2021","13","Athletico-PR","49.1","14"
"2021","14","America-MG","47.4","8"
"2021","15","Bahia","47.0","18"
"2021","16","Ceara","46.6","11"
"2021","17","Cuiaba","46.0","15"
"2021","18","Sport","45.8","19"
"2021","19","Juventude","44.4","16"
"2021","20","Chapecoense","42.2","20"
"2022","1","Fluminense","61.0","3"
"2022","2","Atletico-MG","59.0","7"
"2022","3","Flamengo","57.6","5"
"2022","4","SaoPaulo","55.5","9"
"2022","5","Corinthians","54.9","4"
"2022","6","Palmeiras","54.3","1"
"2022","7","Ceara","50.9","17"
"2022","8","Atletico-GO","50.6","18"
"2022","9","Avai","50.3","19"
"2022","10","Internacional","50.2","2"
"2022","11","RBBragantino","49.9","14"
"2022","12","Botafogo","48.8","11"
"2022","13","Santos","47.9","12"
"2022","14","America-MG","45.7","10"
"2022","15","Juventude","45.6","20"
"2022","16","Fortaleza","45.0","8"
"2022","17","Coritiba","44.9","15"
"2022","18","Cuiaba","43.9","16"
"2022","19","Athletico-PR","43.8","6"
"2022","20","Goias","39.9","13"
"2023","1","Fluminense","61.8","7"
"2023","2","SaoPaulo","59.8","11"
"2023","3","Flamengo","57.7","4"
"2023","4","RBBragantino","56.9","6"
"2023","5","Atletico-MG","52.8","3"
"2023","6","Palmeiras","52.7","1"
"2023","7","Internacional","51.6","9"
"2023","8","Cruzeiro","51.5","14"
"2023","9","Bahia","49.8","16"
"2023","10","Vasco","48.6","15"
"2023","11","Corinthians","48.6","13"
"2023","12","Athletico","48.4","8"
"2023","13","Botafogo","48.1","5"
"2023","14","Gremio","46.4","2"
"2023","15","Fortaleza","46.3","10"
"2023","16","Goias","44.4","18"
"2023","17","Santos","44.4","17"
"2023","18","Coritiba","43.7","19"
"2023","19","Cuiaba","43.6","12"
"2023","20","America-MG","42.8","20"
