Temporada,Rodada,Mandante,Visitante,Mandante Placar,Visitante Placar
2023,1,Palmeiras,Cuiabá,2,1
2023,1,América-MG,Fluminense,0,3
2023,1,Botafogo,São Paulo,2,1
2023,1,Bragantino,Bahia,2,1
2023,1,Athletico-PR,Goiás,2,0
2023,1,Fortaleza,Internacional,1,1
2023,1,Atlético-MG,Vasco,1,2
2023,1,Flamengo,Coritiba,3,0
2023,1,Corinthians,Cruzeiro,2,1
2023,1,Grêmio,Santos,1,0
2023,2,Fluminense,Athletico-PR,2,0
2023,2,São Paulo,América-MG,3,0
2023,2,Cuiabá,Bragantino,1,1
2023,2,Cruzeiro,Grêmio,1,0
2023,2,Internacional,Flamengo,2,1
2023,2,Vasco,Palmeiras,2,2
2023,2,Santos,Atlético-MG,0,0
2023,2,Coritiba,Fortaleza,0,3
2023,2,Goiás,Corinthians,3,1
2023,2,Bahia,Botafogo,1,2
2023,3,Coritiba,São Paulo,1,1
2023,3,Fortaleza,Fluminense,4,2
2023,3,Palmeiras,Corinthians,2,1
2023,3,Santos,América-MG,3,2
2023,3,Bragantino,Cruzeiro,0,3
2023,3,Atlético-MG,Athletico-PR,2,1
2023,3,Flamengo,Botafogo,2,3
2023,3,Internacional,Goiás,1,0
2023,3,Cuiabá,Grêmio,1,2
2023,3,Vasco,Bahia,0,1
2023,4,Cruzeiro,Santos,2,1
2023,4,Fluminense,Vasco,1,1
2023,4,América-MG,Cuiabá,1,2
2023,4,São Paulo,Internacional,2,0
2023,4,Athletico-PR,Flamengo,2,1
2023,4,Bahia,Coritiba,3,1
2023,4,Botafogo,Atlético-MG,2,0
2023,4,Goiás,Palmeiras,0,5
2023,4,Grêmio,Bragantino,3,3
2023,4,Corinthians,Fortaleza,1,1
2023,5,Santos,Bahia,3,0
2023,5,Bragantino,América-MG,2,2
2023,5,Internacional,Athletico-PR,0,2
2023,5,Flamengo,Goiás,2,0
2023,5,Cuiabá,Atlético-MG,0,4
2023,5,Palmeiras,Grêmio,4,1
2023,5,Cruzeiro,Fluminense,0,2
2023,5,Coritiba,Vasco,1,1
2023,5,Botafogo,Corinthians,3,0
2023,5,Fortaleza,São Paulo,0,0
2023,6,Bahia,Flamengo,2,3
2023,6,Fluminense,Cuiabá,2,0
2023,6,Palmeiras,Bragantino,1,1
2023,6,Atlético-MG,Internacional,2,0
2023,6,Vasco,Santos,0,1
2023,6,Corinthians,São Paulo,1,1
2023,6,Grêmio,Fortaleza,0,0
2023,6,Goiás,Botafogo,2,1
2023,6,Athletico-PR,Coritiba,3,2
2023,6,América-MG,Cruzeiro,0,4
2023,7,Bahia,Goiás,1,1
2023,7,Botafogo,Fluminense,1,0
2023,7,São Paulo,Vasco,4,2
2023,7,Bragantino,Athletico-PR,2,0
2023,7,Coritiba,Atlético-MG,1,2
2023,7,América-MG,Fortaleza,2,1
2023,7,Santos,Palmeiras,0,0
2023,7,Flamengo,Corinthians,1,0
2023,7,Grêmio,Internacional,3,1
2023,7,Cruzeiro,Cuiabá,0,1
2023,8,Athletico-PR,Grêmio,1,2
2023,8,Fortaleza,Vasco,2,0
2023,8,Flamengo,Cruzeiro,1,1
2023,8,Cuiabá,Coritiba,1,1
2023,8,São Paulo,Goiás,2,1
2023,8,Corinthians,Fluminense,2,0
2023,8,Internacional,Bahia,2,0
2023,8,Bragantino,Santos,2,0
2023,8,Atlético-MG,Palmeiras,1,1
2023,8,Botafogo,América-MG,2,0
2023,9,Fortaleza,Bahia,0,0
2023,9,Cruzeiro,Atlético-MG,0,1
2023,9,Athletico-PR,Botafogo,1,0
2023,9,América-MG,Corinthians,2,0
2023,9,Santos,Internacional,1,1
2023,9,Fluminense,Bragantino,2,1
2023,9,Grêmio,São Paulo,2,1
2023,9,Palmeiras,Coritiba,3,1
2023,9,Goiás,Cuiabá,0,1
2023,9,Vasco,Flamengo,1,4
2023,10,Coritiba,Santos,0,0
2023,10,Corinthians,Cuiabá,1,1
2023,10,Atlético-MG,Bragantino,1,1
2023,10,Bahia,Cruzeiro,2,2
2023,10,Botafogo,Fortaleza,2,0
2023,10,América-MG,Athletico-PR,2,2
2023,10,São Paulo,Palmeiras,0,2
2023,10,Internacional,Vasco,2,1
2023,10,Flamengo,Grêmio,3,0
2023,10,Goiás,Fluminense,2,2
2023,11,São Paulo,Athletico-PR,2,1
2023,11,Cruzeiro,Fortaleza,0,1
2023,11,Santos,Corinthians,0,2
2023,11,Fluminense,Atlético-MG,1,1
2023,11,Bahia,Palmeiras,1,0
2023,11,Grêmio,América-MG,3,1
2023,11,Vasco,Goiás,0,1
2023,11,Coritiba,Internacional,0,1
2023,11,Cuiabá,Botafogo,0,1
2023,11,Bragantino,Flamengo,4,0
2023,12,Athletico-PR,Corinthians,1,0
2023,12,Fluminense,Bahia,2,1
2023,12,Fortaleza,Atlético-MG,2,1
2023,12,Cruzeiro,São Paulo,1,0
2023,12,Palmeiras,Botafogo,0,1
2023,12,Grêmio,Coritiba,5,1
2023,12,Santos,Flamengo,2,3
2023,12,Bragantino,Goiás,2,0
2023,12,América-MG,Internacional,1,2
2023,12,Vasco,Cuiabá,1,0
2023,13,São Paulo,Fluminense,1,0
2023,13,Flamengo,Fortaleza,2,0
2023,13,Bahia,Grêmio,1,2
2023,13,Internacional,Cruzeiro,0,0
2023,13,Corinthians,Bragantino,0,1
2023,13,Botafogo,Vasco,2,0
